,Name of movie,Description,Age rate,Year,Runtime,Genre
17,Grindhouse,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them.,R,2007,191,"Action, Horror, Thriller            "
18,28 Days Later...,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",R,2002,113,"Drama, Horror, Sci-Fi            "
19,28 Weeks Later,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",R,2007,100,"Horror, Sci-Fi            "
20,Resident Evil: Extinction,"Survivors of the Raccoon City catastrophe travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp.",R,2007,94,"Action, Horror, Sci-Fi            "
21,Dawn of the Dead,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",R,2004,101,"Action, Horror            "
22,Resident Evil,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",R,2002,100,"Action, Horror, Sci-Fi            "
23,Planet Terror,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",R,2007,105,"Action, Comedy, Fantasy            "
24,Army of Darkness,"A sardonic hardware store clerk is accidentally transported to 1300 A.D., where he must retrieve the Necronomicon and battle an army of the dead so he can return home.",R,1992,81,"Comedy, Horror            "
25,Dead Snow,"A ski vacation turns horrific for a group of medical students, as they find themselves confronted by an unimaginable menace: Nazi zombies.",Not Rated,2009,91,"Comedy, Fantasy, Horror            "
26,Resident Evil: Apocalypse,"Alice wakes up in the Raccoon City hospital after the area has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped.",R,2004,94,"Action, Horror, Sci-Fi            "
27,Doom,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,R,2005,105,"Action, Horror, Sci-Fi            "
28,Dead Alive,"A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.",R,1992,104,"Comedy, Fantasy, Horror            "
29,Land of the Dead,"The living dead have taken over the world, and the last humans live in a walled city to protect themselves as they come to grips with the situation.",R,2005,93,"Horror, Sci-Fi, Thriller            "
30,Dawn of the Dead,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",Unrated,1978,127,"Horror, Thriller            "
31,Night of the Living Dead,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,Not Rated,1968,96,"Horror, Thriller            "
32,Quarantine,"A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.",R,2008,89,"Horror, Thriller            "
33,Survival of the Dead,"On an island off the coast of North America, local residents simultaneously fight a zombie epidemic while hoping for a cure to return their un-dead relatives back to their human state.",R,2009,90,"Comedy, Drama, Horror            "
34,Diary of the Dead,A group of young film students run into real-life zombies while filming a horror movie of their own.,R,2007,95,"Fantasy, Horror, Sci-Fi            "
35,Pet Sematary,"After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.",R,1989,103,"Fantasy, Horror, Thriller            "
36,The Return of the Living Dead,"When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies.",R,1985,91,"Comedy, Horror, Sci-Fi            "
37,Day of the Dead,When a small Colorado town is overrun by the flesh hungry dead a small group of survivors try to escape in a last ditch effort to stay alive.,R,2008,86,"Action, Horror, Sci-Fi            "
38,Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",R,2010,108,"Drama, Thriller            "
39,The Green Hornet,"Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.",PG-13,2011,119,"Action, Comedy, Crime            "
40,xXx,"An extreme sports athlete, Xander Cage, is recruited by the government on a special mission.",PG-13,2002,124,"Action, Adventure, Thriller            "
41,The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",R,2009,100,Comedy            
42,Night of the Living Dead,"When the unburied dead return to life and seek human victims, seven refugees seek shelter in a house in the Pennsylvanian countryside, but the group is at odds as to how they should deal with the situation.",R,1990,92,Horror            
43,The Fast and the Furious: Tokyo Drift,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,PG-13,2006,104,"Action, Crime, Thriller            "
44,A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",R,1971,136,"Crime, Drama, Sci-Fi            "
45,Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",R,1986,137,"Action, Adventure, Sci-Fi            "
46,Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,R,2000,102,Drama            
47,The Prestige,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",PG-13,2006,130,"Drama, Mystery, Sci-Fi            "
48,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",R,1992,99,"Crime, Drama, Thriller            "
49,Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",PG,1985,116,"Adventure, Comedy, Sci-Fi            "
50,Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",PG,1975,91,"Adventure, Comedy, Fantasy            "
51,The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",R,1999,189,"Crime, Drama, Fantasy            "
52,Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,R,1995,178,"Biography, Drama, History            "
53,2001: A Space Odyssey,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer.",G,1968,149,"Adventure, Sci-Fi            "
54,Downfall,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",R,2004,156,"Biography, Drama, History            "
55,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,R,2000,155,"Action, Adventure, Drama            "
56,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",R,2009,153,"Adventure, Drama, War            "
57,Harry Potter and the Deathly Hallows: Part 1,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",PG-13,2010,146,"Adventure, Fantasy, Mystery            "
58,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",PG-13,2008,152,"Action, Crime, Drama            "
59,The Mechanic,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.,R,2011,93,"Action, Crime, Thriller            "
60,The Social Network,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",PG-13,2010,120,"Biography, Drama            "
61,Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,PG-13,2009,162,"Action, Adventure, Fantasy            "
62,Scott Pilgrim vs. the World,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",PG-13,2010,112,"Action, Comedy, Fantasy            "
63,Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",R,2010,117,"Action, Comedy, Crime            "
64,Due Date,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,R,2010,95,"Comedy, Drama            "
65,The Other Guys,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",PG-13,2010,107,"Action, Comedy, Crime            "
66,Twilight,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",PG-13,2008,122,"Drama, Fantasy, Romance            "
67,Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R,1999,139,Drama            
68,Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",PG-13,2005,140,"Action, Adventure            "
69,Die Hard,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,R,1988,132,"Action, Thriller            "
70,Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",PG-13,2004,121,"Biography, Drama, History            "
71,Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,R,1995,170,"Action, Crime, Drama            "
72,Jaws,"When a killer shark unleashes chaos on beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",PG,1975,124,"Adventure, Thriller            "
73,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",R,2000,102,"Comedy, Crime            "
74,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,R,2007,122,"Crime, Drama, Thriller            "
75,The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",G,1994,88,"Animation, Adventure, Drama            "
76,The Big Lebowski,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",R,1998,117,"Comedy, Crime, Sport            "
77,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",R,2001,113,"Drama, Mystery, Sci-Fi            "
78,Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",R,2007,148,"Adventure, Biography, Drama            "
79,The Sixth Sense,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",PG-13,1999,107,"Drama, Mystery, Thriller            "
80,District 9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,R,2009,112,"Action, Sci-Fi, Thriller            "
81,Gone with the Wind,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,Passed,1939,238,"Drama, History, Romance            "
82,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",R,2003,111,"Action, Crime, Drama            "
83,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,G,1995,81,"Animation, Adventure, Comedy            "
84,Scarface,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",R,1983,170,"Crime, Drama            "
85,2 Fast 2 Furious,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,PG-13,2003,107,"Action, Crime, Thriller            "
86,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,R,2006,151,"Action, Crime, Drama            "
87,Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",PG-13,2003,143,"Action, Adventure, Fantasy            "
88,Iron Man 2,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",PG-13,2010,124,"Action, Adventure, Sci-Fi            "
89,Machete,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",R,2010,105,"Action, Crime, Thriller            "
90,The Expendables,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,R,2010,103,"Action, Adventure, Thriller            "
91,Salt,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,PG-13,2010,100,"Action, Thriller            "
92,The Sorcerer's Apprentice,"Balthazar Blake, an apprentice of the legendary magician Merlin, must train his old teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.",PG,2010,109,"Action, Adventure, Family            "
93,Alice in Wonderland,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",PG,2010,108,"Adventure, Family, Fantasy            "
94,Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",PG,2001,152,"Adventure, Family, Fantasy            "
95,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",PG-13,2010,102,Comedy            
96,300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,R,2006,117,"Action, Drama            "
97,The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",R,2008,109,"Drama, Sport            "
98,Gandhi,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,PG,1982,191,"Biography, Drama            "
99,The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",R,1984,107,"Action, Sci-Fi            "
100,12 Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",R,1995,129,"Mystery, Sci-Fi, Thriller            "
101,Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",R,1997,126,"Drama, Romance            "
102,Let the Right One In,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",R,2008,114,"Crime, Drama, Fantasy            "
103,The Exorcist,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",R,1973,122,Horror            
104,Rocky,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,PG,1976,120,"Drama, Sport            "
105,Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.,PG-13,2003,125,"Adventure, Drama, Fantasy            "
106,Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,G,1991,84,"Animation, Family, Fantasy            "
107,Mystic River,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,R,2003,138,"Crime, Drama, Mystery            "
108,Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",R,2010,138,"Mystery, Thriller            "
109,Buried,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,R,2010,95,"Drama, Mystery, Thriller            "
110,The Bank Job,Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.,R,2008,111,"Crime, Drama, Thriller            "
111,Robin Hood,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",PG-13,2010,140,"Action, Adventure, Drama            "
112,Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",R,1998,169,"Drama, War            "
113,A Perfect Getaway,Two pairs of lovers on a Hawaiian vacation discover that psychopaths are stalking and murdering tourists on the islands.,R,2009,98,"Drama, Mystery, Thriller            "
114,Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,PG-13,2009,128,"Action, Adventure, Mystery            "
115,Sin City,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",R,2005,124,"Crime, Thriller            "
116,Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",PG,2009,153,"Action, Adventure, Family            "
117,Star Wars: Episode I - The Phantom Menace,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",PG,1999,136,"Action, Adventure, Fantasy            "
118,X-Men Origins: Wolverine,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",PG-13,2009,107,"Action, Sci-Fi            "
119,Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",R,2009,162,"Action, Drama, Mystery            "
120,The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",R,2010,118,"Action, Adventure, Drama            "
121,Prince of Persia: The Sands of Time,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,PG-13,2010,116,"Action, Adventure, Fantasy            "
122,Shrek Forever After,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,PG,2010,93,"Animation, Adventure, Comedy            "
123,Predators,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,R,2010,107,"Action, Adventure, Sci-Fi            "
124,Superbad,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,R,2007,113,Comedy            
125,American Pie,Four teenage boys enter a pact to lose their virginity by prom night.,R,1999,95,Comedy            
126,Scream,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",R,1996,111,"Horror, Mystery            "
127,Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG,1980,124,"Action, Adventure, Fantasy            "
128,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",G,2003,100,"Animation, Adventure, Comedy            "
129,Love Actually,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",R,2003,135,"Comedy, Drama, Romance            "
130,The Incredible Hulk,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",PG-13,2008,112,"Action, Adventure, Sci-Fi            "
131,Harry Potter and the Goblet of Fire,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",PG-13,2005,157,"Adventure, Family, Fantasy            "
132,A Nightmare on Elm Street,"The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.",R,2010,95,"Crime, Drama, Horror            "
133,I Spit on Your Grave,"A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.",R,2010,108,"Horror, Thriller            "
134,Troy,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",R,2004,163,"Drama, History            "
135,Star Wars: Episode III - Revenge of the Sith,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",PG-13,2005,140,"Action, Adventure, Fantasy            "
136,Percy Jackson & the Olympians: The Lightning Thief,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,PG,2010,118,"Adventure, Family, Fantasy            "
137,Knocked Up,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",R,2007,129,"Comedy, Romance            "
138,Juno,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child.",PG-13,2007,96,"Comedy, Drama            "
139,X-Men,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",PG-13,2000,104,"Action, Adventure, Sci-Fi            "
140,Zack and Miri Make a Porno,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",R,2008,101,"Comedy, Romance            "
141,Law Abiding Citizen,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.,R,2009,109,"Action, Crime, Drama            "
142,American Psycho,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",R,2000,101,"Crime, Drama, Horror            "
143,YPF,"On a Tuesday night, five couples have separate sexual adventures.",Not Rated,2007,87,"Comedy, Drama, Romance            "
144,X-Men: The Last Stand,"The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.",PG-13,2006,104,"Action, Adventure, Sci-Fi            "
145,The Road,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",R,2009,111,Drama            
146,Public Enemies,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",R,2009,140,"Action, Biography, Crime            "
147,Live Free or Die Hard,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,PG-13,2007,128,"Action, Thriller            "
148,Wanted,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",R,2008,110,"Action, Crime, Thriller            "
149,The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",PG-13,2002,179,"Action, Adventure, Drama            "
150,Forgetting Sarah Marshall,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",R,2008,111,"Comedy, Drama, Romance            "
151,The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,R,2002,150,"Biography, Drama, Music            "
152,Tropic Thunder,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",R,2008,107,"Action, Comedy, War            "
153,Death Race,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,R,2008,105,"Action, Sci-Fi, Thriller            "
154,Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",R,1979,117,"Horror, Sci-Fi            "
155,The Last Airbender,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",PG,2010,103,"Action, Adventure, Family            "
156,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",PG-13,2007,127,"Adventure, Family, Fantasy            "
157,Day of the Dead,"As the world is overrun by zombies, a small group of scientists and military personnel dwelling in an underground bunker in Florida must determine whether they should educate, eliminate or escape the undead horde.",Not Rated,1985,101,"Horror, Thriller            "
